Шаблон наименования ВМ,Тип распределения,Метод распределения по ЗД
migr-init-**,4,По модулю 3
migr-conf-**,1,Равномерно по ЗД
pkurp-app-***,4,По модулю 3
pkurp-worker-***,1,Равномерно по ЗД
pkurp-redis-***,1,Равномерно по ЗД
isurz-uploader-***,1,Равномерно по ЗД
isurz-writer-***,1,Равномерно по ЗД
isurz-api-**,1,Равномерно по ЗД
isurz-xml-storage-**,2,Равномерно по ВМ
isurz-elasticsearch-**,1,Равномерно по ЗД
isurz-kibana-**,1,Равномерно по ЗД
isurz-mq-**,3,По модулю 2
pkurp-consumer-**,2,Равномерно по ВМ
pg-map-reduce-**,1,Равномерно по ЗД
pg-attribute-**,2,Равномерно по ВМ
pg-attribute-standby-**,0,В разные ЗД с мастером на pg-attribute
cia-core-**,1,Равномерно по ЗД
cia-sign-**,1,По модулю 3
cia-db-**,4,Равномерно по ЗД
cia-idp-core-**,1,По модулю 2
ir-bd-**,3,Равномерно по ЗД
ir-app-in-**,1,Равномерно по ЗД
ir-app-out-**,1,Равномерно по ЗД
ir-app-lk-**,1,Равномерно по ЗД
ir-app-gi-**,1,По модулю 2
ppoz-process-core-**,3,По модулю 2
ppoz-gmp-process-**,3,По модулю 2
ppoz-pkurp-process-**,3,По модулю 2
ppoz-popd-process-**,3,Равномерно по ЗД
ppoz-gmp-services-**,1,По модулю 2
ppoz-bus-command-**,3,По модулю 2
ppoz-bus-data-**,3,По модулю 2
ppoz-bus-ext-**,3,Равномерно по ЗД
ppoz-service-external-**,1,Равномерно по ЗД
ppoz-service-notify-**,1,Равномерно по ЗД
ppoz-kuvd-service-**,1,Равномерно по ЗД
ppoz-smev-service-**,1,Равномерно по ЗД
ppoz-filestorage-**,1,Равномерно по ЗД
ppoz-nsi-adapter-**,1,По модулю 3
ppoz-kuvd-db-bkp-**,4,
ppoz-kuvd-db-**,4,По модулю 3
ppoz-db-request-bkp-**,4,
ppoz-db-request-**,4,По модулю 3
ppoz-db-fs-bkp-**,4,
ppoz-db-fs-**,4,По модулю 2
ppoz-db-proc-ppoz-**,3,По модулю 2
ppoz-db-proc-pkurp-**,3,По модулю 2
ppoz-db-proc-gmp-**,3,По модулю 2
ppoz-db-proc-popd-**,3,По модулю 2
popd-bpd-**,3,Равномерно по ЗД
popd-bpd-adapter-**,1,Равномерно по ЗД
popd-geoserver-**,1,Равномерно по ЗД
popd-geoworkers-**,1,Равномерно по ЗД
popd-geoimager-**,1,Равномерно по ЗД
popd-geoapi-**,1,Равномерно по ЗД
popd-workstation-**,1,По модулю 3
site-db-**,4,Равномерно по ЗД
site-liferay-**,1,Равномерно по ЗД
site-liferay-srv-**,1,Равномерно по ЗД
sf-solr-*,1,Равномерно по ЗД
sf-front-**,1,Равномерно по ЗД
sf-back-**,1,Равномерно по ЗД
site-int-**,1,Равномерно по ЗД
site-dstool-**,1,Равномерно по ЗД
lk-db-**,1,Равномерно по ЗД
lk-rd-**,1,Равномерно по ЗД
lk-ui-**,1,Равномерно по ЗД
lk-backend-**,1,Равномерно по ЗД
lk-srv-**,1,Равномерно по ЗД
egron-elasticsearch-**,1,Равномерно по ЗД
egron-kibana-**,1,Равномерно по ЗД
mdr-db-***,1,Равномерно по ЗД
mgmt-ansible-**,1,Равномерно по ЗД
site-solr-**,1,Равномерно по ЗД
ppoz-service-validation-**,1,Равномерно по ЗД
pmuf-zabbix-proxy-**,1,Равномерно по ЗД
pmuf-zabbix-server-**,1,По модулю 3
pmuf-stat-db-**,4,По модулю 2
pmuf-zabbix-db-**,3,По модулю 2
pmuf-db-**,3,Равномерно по ЗД
nsi-app-**,1,Равномерно по ЗД
nsi-db-**,1,Равномерно по ЗД
nsi-tasks-**,1,Равномерно по ЗД
cite-bal-outer-**,1,Равномерно по ЗД
egron-bal-outer-**,1,Равномерно по ЗД
ppoz-process-bal-ppoz-**,1,Равномерно по ЗД
ppoz-process-bal-gmp-**,1,Равномерно по ЗД
ppoz-process-bal-pkurp-**,1,Равномерно по ЗД
ppoz-process-bal-popd-**,1,Равномерно по ЗД
ppoz-gmp-bal-**,1,Равномерно по ЗД
ppoz-service-bal-**,1,Равномерно по ЗД
ppoz-kuvd-bal-**,1,Равномерно по ЗД
ppoz-smev-bal-**,1,Равномерно по ЗД
ppoz-filestorage-bal-**,1,Равномерно по ЗД
cia-core-bal-**,1,Равномерно по ЗД
cia-sign-bal-**,1,Равномерно по ЗД
cia-idp-bal-**,1,Равномерно по ЗД
site-bal-**,1,Равномерно по ЗД
sf-bal-**,1,Равномерно по ЗД
site-dstool-bal-**,1,Равномерно по ЗД
lk-bal-**,1,Равномерно по ЗД
pkurp-app-balancer-**,1,Равномерно по ЗД
isurz-uploader-balancer-**,1,Равномерно по ЗД
isurz-api-balancer-**,1,Равномерно по ЗД
popd-bpd-balancer-**,1,Равномерно по ЗД
popd-bpd-adapter-balancer-**,1,Равномерно по ЗД
popd-geoserver-balancer-**,1,Равномерно по ЗД
popd-workstation-balancer-**,1,Равномерно по ЗД
pmuf-arm-sc-balancer-**,1,Равномерно по ЗД
ir-bd-bal-**,1,Равномерно по ЗД
ir-app-in-bal-**,1,Равномерно по ЗД
ir-app-out-bal-**,1,Равномерно по ЗД
ir-app-lk-bal-**,1,Равномерно по ЗД
ir-app-gi-bal-**,1,Равномерно по ЗД
pkurp-app-balancer-**,1,Равномерно по ЗД
nsi-bal-**,1,Равномерно по ЗД
ps-bd-bal-**,1,Равномерно по ЗД
ir-app-bal-**,1,Равномерно по ЗД
popd-geoapi-balancer-**,1,
